name,artist,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,rating
Dolla Sign Slime,Lil Nas X,69,0.0504,0.923,145075,0.533,0.0,11,0.10200000000000001,-6.016,0,0.262,133.991,0.587,1
Valentine,Snail Mail,56,0.000713,0.488,196173,0.623,0.0,0,0.131,-4.873,1,0.0317,129.874,0.171,1
This Enchanted,Hatchie,37,0.0037500000000000003,0.543,233676,0.8290000000000001,0.000125,4,0.108,-6.962,1,0.032100000000000004,110.007,0.65,1
You Lose!,Magdalena Bay,55,6.780000000000001e-05,0.628,204391,0.909,0.372,9,0.923,-6.168,0,0.042300000000000004,120.01,0.164,1
This Time,Makthaverskan,22,2.86e-05,0.223,250934,0.8150000000000001,0.229,3,0.106,-7.068,1,0.0375,174.188,0.388,1
Famous Last Words,James Blake,49,0.9590000000000001,0.583,256156,0.192,0.26,5,0.11800000000000001,-12.578,0,0.039,75.534,0.0398,1
Burner Account,Open Mike Eagle,24,0.178,0.41300000000000003,203750,0.763,3.11e-06,7,0.186,-9.423,1,0.292,170.77,0.541,1
Promised,Wiki,27,0.164,0.34,180837,0.777,0.0,2,0.5670000000000001,-3.797,1,0.0835,78.1,0.432,1
Altar,Kehlani,67,0.068,0.554,243091,0.854,0.00285,9,0.166,-3.313,1,0.149,83.823,0.797,1
Wildest Dreams (Taylor's Version),Taylor Swift,82,0.0374,0.583,220433,0.67,0.0001,8,0.126,-7.289,1,0.0646,140.061,0.498,0
Ode to the Blue,Grouper,38,0.9460000000000001,0.5750000000000001,173625,0.0884,0.722,11,0.101,-24.312,1,0.0429,95.233,0.09240000000000001,0
Earthlings,Nick Cave,25,0.73,0.16,179440,0.2,0.598,5,0.0949,-11.614,1,0.0359,95.861,0.0565,0
V12,iann dior,63,0.41100000000000003,0.705,177836,0.681,0.0,4,0.121,-3.286,0,0.148,164.941,0.626,0
On My Side,YoungBoy Never Broke Again,60,0.41500000000000004,0.606,148571,0.671,0.0,10,0.176,-7.529,0,0.352,168.201,0.642,0
DiE4u,Bring Me the Horizon,70,0.00234,0.355,207141,0.919,0.00031299999999999996,7,0.262,-3.771,1,0.356,159.922,0.259,0
Hurt You,Spiritbox,55,4.6200000000000005e-05,0.368,226187,0.977,0.000829,7,0.41000000000000003,-3.39,1,0.135,107.773,0.167,0
Love Love Love,My Morning Jacket,43,0.0218,0.531,222093,0.84,0.056100000000000004,2,0.105,-5.737,1,0.115,178.165,0.5730000000000001,-1
If Only,Rachel Chinouriri,50,0.618,0.512,202873,0.498,1.13e-05,10,0.133,-7.856,0,0.139,80.642,0.47800000000000004,1
Pressure,Ari Lennox,68,0.139,0.85,193279,0.658,0.0,0,0.063,-5.558,1,0.221,144.445,0.8320000000000001,1
Story Time,Fivio Foreign,60,0.0961,0.746,162000,0.805,0.0,4,0.326,-6.048,0,0.333,139.954,0.683,1
Have Mercy,Chlöe,76,0.297,0.903,148779,0.535,0.0,9,0.34500000000000003,-6.434,1,0.0742,130.022,0.508,1
Big Persona,Maxo Kream,53,0.0302,0.68,145240,0.513,0.00039799999999999997,2,0.162,-6.683,1,0.08710000000000001,146.015,0.163,1
Beside April,BADBADNOTGOOD,49,0.0599,0.385,313588,0.528,0.855,11,0.232,-11.977,0,0.0327,102.246,0.536,1
Certainty,Big Thief,61,0.020800000000000003,0.611,187389,0.507,0.012,9,0.222,-8.521,1,0.0267,76.578,0.401,1
medieval,Dos Monos,26,0.057800000000000004,0.732,194421,0.9530000000000001,0.0,7,0.298,-4.617,1,0.17500000000000002,120.057,0.6950000000000001,1
Party Anthem,Sloppy Jane,38,0.0931,0.41400000000000003,201147,0.514,0.000124,8,0.105,-7.367,1,0.0369,130.179,0.263,1
Earth to Mike,Spiritual Cramp,34,0.000996,0.28600000000000003,90950,0.96,0.9520000000000001,2,0.334,-2.951,1,0.09680000000000001,173.713,0.682,1
Return,Emma Ruth Rundle,35,0.9570000000000001,0.35000000000000003,316413,0.0477,0.016800000000000002,9,0.131,-19.53,1,0.0405,72.154,0.0495,0
Right Track,Syd,53,0.184,0.806,158272,0.557,0.0,9,0.168,-6.007,1,0.0767,113.033,0.8150000000000001,0
Arcadia,Lana Del Rey,59,0.97,0.323,263400,0.106,5.940000000000001e-05,10,0.108,-10.374,1,0.0323,91.455,0.158,0
Angel Baby,Troye Sivan,77,0.0145,0.559,220780,0.559,0.0,11,0.138,-6.425,1,0.0358,72.498,0.338,0
